"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Altersdurchschnitt","Deutsche","2019","Stadt München","42.2","47014691","1115288","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","01 Altstadt - Lehel","42.1","658509","15624","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","02 Ludwigsvorstadt - Isarvorstadt","38.9","1449223","37233","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","03 Maxvorstadt","38.9","1500943","38577","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","04 Schwabing - West","41.5","2209877","53205","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","05 Au - Haidhausen","40.3","1897608","47135","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","06 Sendling","40.6","1219521","30038","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","07 Sendling - Westpark","42.3","1806152","42681","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","08 Schwanthalerhöhe","37.8","753474","19947","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","09 Neuhausen - Nymphenburg","41.7","3139870","75306","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","10 Moosach","42.7","1585973","37185","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","11 Milbertshofen - Am Hart","40.3","1810412","44958","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","12 Schwabing - Freimann","40.9","2266001","55348","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","13 Bogenhausen","44","2973176","67624","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","14 Berg am Laim","41.8","1323951","31644","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","15 Trudering - Riem","40.9","2304195","56273","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","16 Ramersdorf - Perlach","43.3","3346763","77375","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","17 Obergiesing - Fasangarten","40.9","1531653","37445","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","18 Untergiesing - Harlaching","43.9","1771833","40335","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","44.9","3167940","70566","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","20 Hadern","45.2","1633519","36123","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","21 Pasing - Obermenzing","43.5","2526694","58128","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","22 Aubing - Lochhausen - Langwied","43","1486618","34588","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","23 Allach - Untermenzing","43.3","1110677","25679","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","24 Feldmoching - Hasenbergl","42.6","1776604","41717","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2019","25 Laim","43.5","1763505","40554","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","Stadt München","42.1","46738821","1108919","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","01 Altstadt - Lehel","42.1","656628","15600","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","02 Ludwigsvorstadt - Isarvorstadt","38.8","1435372","36990","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","03 Maxvorstadt","38.8","1489577","38351","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","04 Schwabing - West","41.5","2197788","52999","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","05 Au - Haidhausen","40","1876646","46910","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","06 Sendling","40.6","1216540","29971","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","07 Sendling - Westpark","42.3","1796638","42428","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","08 Schwanthalerhöhe","37.7","745997","19775","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","09 Neuhausen - Nymphenburg","41.7","3119566","74834","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","10 Moosach","42.7","1586880","37151","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
"Altersdurchschnitt","Deutsche","2018","11 Milbertshofen - Am Hart","40.4","1797284","44473","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","",""
